Date_start,Date,Hour,Power_kW,WeekDay,temp_C,solarRad_W/m2,Holiday,Season,rain_day,Power-1,Season_name
01-01-2017 00:00:00,01-01-2017,0,100.8100005,0,8.72,1.163,True,1.0,0.0,79.176097,Winter
01-01-2017 01:00:00,01-01-2017,1,99.0541345,0,8.21,1.357,True,1.0,0.0,100.8100005,Winter
01-01-2017 02:00:00,01-01-2017,2,98.539567,0,7.58,2.6039999999999996,True,1.0,0.0,99.0541345,Winter
01-01-2017 03:00:00,01-01-2017,3,101.4357845,0,6.968,1.44,True,1.0,0.0,98.539567,Winter
01-01-2017 04:00:00,01-01-2017,4,98.48166450000001,0,6.797000000000001,1.7730000000000001,True,1.0,0.0,101.4357845,Winter
01-01-2017 05:00:00,01-01-2017,5,97.805844,0,6.1610000000000005,0.38799999999999996,True,1.0,0.0,98.48166450000001,Winter
01-01-2017 06:00:00,01-01-2017,6,94.4647605,0,5.8020000000000005,0.997,True,1.0,0.0,97.805844,Winter
01-01-2017 07:00:00,01-01-2017,7,94.983261,0,5.525,1.1909999999999998,True,1.0,0.0,94.4647605,Winter
01-01-2017 08:00:00,01-01-2017,8,104.62217,0,5.3870000000000005,4.627,True,1.0,0.0,94.983261,Winter
01-01-2017 09:00:00,01-01-2017,9,101.36215,0,5.407,38.79,True,1.0,0.0,104.62217,Winter
01-01-2017 10:00:00,01-01-2017,10,104.6009755,0,5.62,176.4,True,1.0,0.0,101.36215,Winter
01-01-2017 11:00:00,01-01-2017,11,106.95575,0,6.206,159.3,True,1.0,0.0,104.6009755,Winter
01-01-2017 12:00:00,01-01-2017,12,104.95144950000001,0,7.25,270.5,True,1.0,0.0,106.95575,Winter
01-01-2017 13:00:00,01-01-2017,13,104.791726,0,7.82,208.4,True,1.0,0.0,104.95144950000001,Winter
01-01-2017 14:00:00,01-01-2017,14,107.381825,0,9.28,186.7,True,1.0,0.0,104.791726,Winter
01-01-2017 15:00:00,01-01-2017,15,103.98808299999999,0,10.1,147.7,True,1.0,0.0,107.381825,Winter
01-01-2017 16:00:00,01-01-2017,16,105.216053,0,9.78,76.4,True,1.0,0.0,103.98808299999999,Winter
01-01-2017 17:00:00,01-01-2017,17,107.87345,0,9.26,18.42,True,1.0,0.0,105.216053,Winter
01-01-2017 18:00:00,01-01-2017,18,105.297772,0,8.87,3.324,True,1.0,0.0,107.87345,Winter
01-01-2017 19:00:00,01-01-2017,19,105.5317855,0,8.9,0.5539999999999999,True,1.0,0.0,105.297772,Winter
01-01-2017 20:00:00,01-01-2017,20,110.06238300000001,0,9.26,0.997,True,1.0,0.0,105.5317855,Winter
01-01-2017 21:00:00,01-01-2017,21,104.160698,0,9.21,1.4409999999999998,True,1.0,0.0,110.06238300000001,Winter
01-01-2017 22:00:00,01-01-2017,22,100.433525,0,9.51,1.496,True,1.0,0.0,104.160698,Winter
01-01-2017 23:00:00,01-01-2017,23,97.65639,0,10.09,1.745,True,1.0,0.0,100.433525,Winter
02-01-2017 00:00:00,02-01-2017,0,92.2155215,1,9.64,1.496,False,1.0,0.0,97.65639,Winter
02-01-2017 01:00:00,02-01-2017,1,94.69353000000001,1,9.57,1.136,False,1.0,0.0,92.2155215,Winter
02-01-2017 02:00:00,02-01-2017,2,97.90985,1,9.97,2.521,False,1.0,0.0,94.69353000000001,Winter
02-01-2017 03:00:00,02-01-2017,3,95.432934,1,9.8,1.329,False,1.0,0.0,97.90985,Winter
02-01-2017 04:00:00,02-01-2017,4,95.6783095,1,9.83,2.52,False,1.0,0.0,95.432934,Winter
02-01-2017 05:00:00,02-01-2017,5,96.260175,1,9.84,1.163,False,1.0,0.0,95.6783095,Winter
02-01-2017 06:00:00,02-01-2017,6,104.752833,1,10.43,1.025,False,1.0,0.0,96.260175,Winter
02-01-2017 07:00:00,02-01-2017,7,133.9879145,1,10.39,1.08,False,1.0,0.0,104.752833,Winter
02-01-2017 08:00:00,02-01-2017,8,283.762017,1,10.16,1.495,False,1.0,0.0,133.9879145,Winter
02-01-2017 09:00:00,02-01-2017,9,240.99894500000002,1,10.15,31.38,False,1.0,0.0,283.762017,Winter
02-01-2017 10:00:00,02-01-2017,10,263.4928645,1,10.75,59.38,False,1.0,0.0,240.99894500000002,Winter
02-01-2017 11:00:00,02-01-2017,11,280.4191855,1,11.21,53.12,False,1.0,0.0,263.4928645,Winter
02-01-2017 12:00:00,02-01-2017,12,279.7964605,1,12.36,107.6,False,1.0,0.0,280.4191855,Winter
02-01-2017 13:00:00,02-01-2017,13,276.200169,1,12.86,25.12,False,1.0,0.0,279.7964605,Winter
02-01-2017 14:00:00,02-01-2017,14,281.5724285,1,13.96,8.81,False,1.0,0.4,276.200169,Winter
02-01-2017 15:00:00,02-01-2017,15,289.8548895,1,12.69,22.6,False,1.0,1.4,281.5724285,Winter
02-01-2017 16:00:00,02-01-2017,16,288.749498,1,13.42,34.28,False,1.0,2.5,289.8548895,Winter
02-01-2017 17:00:00,02-01-2017,17,257.0615355,1,13.11,3.988,False,1.0,4.0,288.749498,Winter
02-01-2017 18:00:00,02-01-2017,18,248.64447850000002,1,13.99,5.567,False,1.0,4.3,257.0615355,Winter
